type,supplement_id,condition_id,url
TREATS_DEFICIENCY,vitamin-b12,vitamin-b12-deficiency,
TREATS_DEFICIENCY,vitamin-b12,indicate-deficiency,
INDICATED_FOR,vitamin-b12,anemia,
INDICATED_FOR,vitamin-b12,depression,
INDICATED_FOR,vitamin-b12,cancer,
INDICATED_FOR,vitamin-b12,tumor,
INDICATED_FOR,vitamin-b12,carcinoma,
INDICATED_FOR,vitamin-b12,alzheimer,
INDICATED_FOR,vitamin-b12,dementia,
RELIEVES_SYMPTOM,vitamin-b12,weakness,
RELIEVES_SYMPTOM,vitamin-b12,fatigue,
INDICATED_FOR,vitamin-b12,megaloblastic-anemia,
INDICATED_FOR,vitamin-b12,neurologic-damage,
RELIEVES_SYMPTOM,vitamin-b12,depression,
INDICATED_FOR,vitamin-b12,cognitive-performance-impairment,
HELPS_WITH,vitamin-b12,chronic-fatigue-syndrome,
INDICATED_FOR,vitamin-b12,elevated-homocysteine-levels,
RELIEVES,vitamin-b12,hepatitis-c-virus-replication,
PREVENTS,vitamin-b12,alzheimer-disease,
INDICATED_FOR,vitamin-b12,hearing-loss,
RELIEVES,vitamin-b12,voice-fatigue,
USED_FOR_PROCEDURE,vitamin-c,running-seems-to-reduce-postexercise-serum-cortisol-and-cytokines-11961,
TREATS_DEFICIENCY,vitamin-c,significant-deficiency,
TREATS_DEFICIENCY,vitamin-c,c-deficiency,
TREATS_DEFICIENCY,vitamin-c,of-deficiency,
TREATS_DEFICIENCY,vitamin-c,collagen-deficiency,
INDICATED_FOR,vitamin-c,hypertension,
INDICATED_FOR,vitamin-c,diabetes,
INDICATED_FOR,vitamin-c,tumor,
INDICATED_FOR,vitamin-c,cancer,
INDICATED_FOR,vitamin-c,lymphoma,
INDICATED_FOR,vitamin-c,leukemia,
INDICATED_FOR,vitamin-c,inflammation,
INDICATED_FOR,vitamin-c,asthma,
INDICATED_FOR,vitamin-c,infection,
INDICATED_FOR,vitamin-c,dementia,
INDICATED_FOR,vitamin-c,heart-failure,
INDICATED_FOR,vitamin-c,scurvy,
RELIEVES_SYMPTOM,vitamin-c,fever,
RELIEVES_SYMPTOM,vitamin-c,fatigue,
TREATS_DEFICIENCY,vitamin-c,vitamin-c-deficiency,
MANAGES,vitamin-c,creactive-protein-crp-levels,
TREATS,vitamin-c,sepsis,
HELPS_WITH,vitamin-c,allergic-rhinitis,
MANAGES,vitamin-c,hypertension,
RELIEVES,vitamin-c,oxidative-stress,
TREATS,vitamin-c,coronary-artery-disease,
PREVENTS,vitamin-c,common-cold,
HELPS_WITH,vitamin-c,gout,
HELPS_WITH,vitamin-c,photoaging,
TREATS_DEFICIENCY,vitamin-d,d-deficiency,
INDICATED_FOR,vitamin-d,diabetes,
INDICATED_FOR,vitamin-d,osteoporosis,
INDICATED_FOR,vitamin-d,hypertension,
INDICATED_FOR,vitamin-d,arthritis,
INDICATED_FOR,vitamin-d,tumor,
INDICATED_FOR,vitamin-d,cancer,
INDICATED_FOR,vitamin-d,inflammation,
INDICATED_FOR,vitamin-d,asthma,
INDICATED_FOR,vitamin-d,infection,
INDICATED_FOR,vitamin-d,bronchitis,
INDICATED_FOR,vitamin-d,cardiovascular-disease,
INDICATED_FOR,vitamin-d,heart-failure,
INDICATED_FOR,vitamin-d,rickets,
RELIEVES_SYMPTOM,vitamin-d,pain,
RELIEVES_SYMPTOM,vitamin-d,weakness,
RELIEVES_SYMPTOM,vitamin-d,fatigue,
RELIEVES_SYMPTOM,vitamin-d,muscle-weakness,
TREATS_DEFICIENCY,vitamin-d,vitamin-d-deficiency,
PREVENTS,vitamin-d,osteoporosis,
TREATS_DEFICIENCY,vitamin-d,rickets,
MANAGES,vitamin-d,chronic-renal-failure,
HELPS_WITH,vitamin-d,type-2-diabetes,
HELPS_WITH,vitamin-d,autoimmune-diseases,
RELIEVES,vitamin-d,inflammation,
HELPS_WITH,vitamin-d,asthma,
MANAGES,vitamin-d,bone-health,
HELPS_WITH,vitamin-d,hypertension,
TREATS_DEFICIENCY,vitamin-e,k-deficiency,
TREATS_DEFICIENCY,vitamin-e,e-deficiency,
TREATS_DEFICIENCY,vitamin-e,inapparent-deficiency,
INDICATED_FOR,vitamin-e,diabetes,
INDICATED_FOR,vitamin-e,anemia,
INDICATED_FOR,vitamin-e,tumor,
INDICATED_FOR,vitamin-e,cancer,
INDICATED_FOR,vitamin-e,carcinoma,
INDICATED_FOR,vitamin-e,inflammation,
INDICATED_FOR,vitamin-e,asthma,
INDICATED_FOR,vitamin-e,dementia,
INDICATED_FOR,vitamin-e,alzheimer,
INDICATED_FOR,vitamin-e,epilepsy,
INDICATED_FOR,vitamin-e,heart-disease,
INDICATED_FOR,vitamin-e,cardiovascular-disease,
RELIEVES_SYMPTOM,vitamin-e,pain,
RELIEVES_SYMPTOM,vitamin-e,weakness,
RELIEVES_SYMPTOM,vitamin-e,muscle-weakness,
HELPS_WITH,vitamin-e,alzheimer-disease,
HELPS_WITH,vitamin-e,type-2-diabetes,
RELIEVES,vitamin-e,inflammation,
PREVENTS,vitamin-e,various-cancers,
HELPS_WITH,vitamin-e,photoaged-skin,
HELPS_WITH,vitamin-e,tardive-dyskinesia,
TREATS_DEFICIENCY,vitamin-e,asthma,
MANAGES,vitamin-e,renal-disease,
HELPS_WITH,vitamin-e,immune-function,
INDICATED_FOR,vitamin-e,vitamin-e-deficiency,
TREATS_DEFICIENCY,zinc,deficiency,
TREATS_DEFICIENCY,zinc,zinc-deficiency,
TREATS_DEFICIENCY,zinc,but-deficiency,
TREATS_DEFICIENCY,zinc,to-deficiency,
TREATS_DEFICIENCY,zinc,severe-deficiency,
INDICATED_FOR,zinc,arthritis,
INDICATED_FOR,zinc,diabetes,
INDICATED_FOR,zinc,depression,
INDICATED_FOR,zinc,osteoporosis,
INDICATED_FOR,zinc,tumor,
INDICATED_FOR,zinc,cancer,
INDICATED_FOR,zinc,carcinoma,
INDICATED_FOR,zinc,inflammation,
INDICATED_FOR,zinc,infection,
INDICATED_FOR,zinc,alzheimer,
RELIEVES_SYMPTOM,zinc,diarrhea,
RELIEVES_SYMPTOM,zinc,nausea,
RELIEVES_SYMPTOM,zinc,pain,
TREATS_DEFICIENCY,zinc,vitamin-a-deficiency,
PREVENTS,zinc,gingivitis,
HELPS_WITH,zinc,inflammation,
TREATS,zinc,peptic-ulcers,
MANAGES,zinc,diabetes,
TREATS,zinc,acne,
HELPS_WITH,zinc,male-infertility,
HELPS_WITH,zinc,wound-healing,
MANAGES,zinc,wilson-disease,
PREVENTS,zinc,osteoporosis,
